"year","month","date_of_month","day_of_week","births","weekend"
2001,"August",28,"Tuesday",13792,FALSE
2001,"August",29,"Wednesday",13160,FALSE
2001,"August",30,"Thursday",13520,FALSE
2001,"August",31,"Friday",13461,FALSE
2001,"September",1,"Saturday",9248,TRUE
2001,"September",2,"Sunday",8239,TRUE
2001,"September",3,"Monday",8115,FALSE
2001,"September",4,"Tuesday",12501,FALSE
2001,"September",5,"Wednesday",14055,FALSE
2001,"September",6,"Thursday",13925,FALSE
2001,"September",7,"Friday",13721,FALSE
2001,"September",8,"Saturday",9344,TRUE
2001,"September",9,"Sunday",8347,TRUE
2001,"September",10,"Monday",12459,FALSE
2001,"September",11,"Tuesday",13590,FALSE
2001,"September",12,"Wednesday",13149,FALSE
2001,"September",13,"Thursday",13186,FALSE
2001,"September",14,"Friday",13444,FALSE
2001,"September",15,"Saturday",9662,TRUE
2001,"September",16,"Sunday",8319,TRUE
2001,"September",17,"Monday",12664,FALSE
2001,"September",18,"Tuesday",13526,FALSE
2001,"September",19,"Wednesday",13575,FALSE
2001,"September",20,"Thursday",13750,FALSE
2001,"September",21,"Friday",13341,FALSE
2001,"September",22,"Saturday",9607,TRUE
