"subjectID","sex","age","camera","memory_task","attn_check","memory_score"
43543,"male",24,"No","audio",1,55.55555556
43555,"female",22,"Yes","audio",1,55.55555556
43555,"female",22,"Yes","visual",1,44.44444444
43570,"male",18,"Yes","visual",1,55.55555556
43570,"male",18,"Yes","audio",1,77.77777778
43590,"male",18,"No","visual",1,66.66666667
43590,"male",18,"No","audio",1,77.77777778
43619,"male",20,"No","visual",1,44.44444444
43619,"male",20,"No","audio",1,77.77777778
43667,"female",18,"Yes","audio",1,88.88888889
43667,"female",18,"Yes","visual",1,77.77777778
43689,"male",18,"Yes","visual",1,77.77777778
43689,"male",18,"Yes","audio",1,33.33333333
43702,"male",24,"Yes","visual",1,66.66666667
43702,"male",24,"Yes","audio",1,77.77777778
43706,"male",18,"No","visual",1,55.55555556
43706,"male",18,"No","audio",1,100
43722,"male",20,"Yes","audio",1,88.88888889
43722,"male",20,"Yes","visual",1,66.66666667
43738,"male",18,"Yes","visual",1,44.44444444
43738,"male",18,"Yes","audio",1,88.88888889
43749,"male",19,"Yes","audio",1,66.66666667
43749,"male",19,"Yes","visual",1,66.66666667
43757,"female",22,"Yes","audio",1,33.33333333
43757,"female",22,"Yes","visual",1,55.55555556
43767,"female",18,"No","audio",1,100
43767,"female",18,"No","visual",1,66.66666667
43836,"male",20,"No","audio",1,77.77777778
43836,"male",20,"No","visual",1,55.55555556
43854,"male",18,"No","audio",1,88.88888889
43854,"male",18,"No","visual",1,55.55555556
43857,"female",18,"Yes","audio",1,88.88888889
43857,"female",18,"Yes","visual",1,44.44444444
43892,"male",18,"No","audio",1,66.66666667
43892,"male",18,"No","visual",1,66.66666667
43904,"female",18,"No","audio",1,66.66666667
43904,"female",18,"No","visual",1,77.77777778
43918,"female",20,"Yes","audio",0,77.77777778
43918,"female",20,"Yes","visual",0,77.77777778
43973,"female",22,"No","audio",1,88.88888889
43973,"female",22,"No","visual",1,33.33333333
43976,"male",20,"No","audio",1,100
43976,"male",20,"No","visual",1,55.55555556
43982,"female",20,"No","audio",1,88.88888889
43982,"female",20,"No","visual",1,66.66666667
43992,"female",18,"No","visual",1,22.22222222
43992,"female",18,"No","audio",1,44.44444444
44003,"male",20,"No","audio",1,100
44003,"male",20,"No","visual",1,55.55555556
44009,"female",18,"No","visual",1,88.88888889
